node_id,lon,lat,geom_type,finite_count,is_local_interp_candidate
289,121.6952771261833,31.34132038617716,TYPE_3_OUTSIDE,3,False
292,121.71634841281295,31.431151503676265,TYPE_3_INSIDE,3,True
307,121.6952771261833,31.700644856173575,TYPE_2_OUTSIDE,2,False
313,121.75849098607223,31.251489268678057,TYPE_2_OUTSIDE,2,False
315,121.75849098607223,31.2874217156777,TYPE_2_OUTSIDE,2,False
316,121.7374196994426,31.269455492177876,TYPE_2_OUTSIDE,2,False
318,121.7374196994426,31.30538793917752,TYPE_2_OUTSIDE,2,False
320,121.7374196994426,31.34132038617716,TYPE_3_OUTSIDE,3,False
321,121.75849098607223,31.395219056676623,TYPE_3_INSIDE,3,True
323,121.75849098607223,31.431151503676265,TYPE_3_INSIDE,3,True
324,121.7374196994426,31.413185280176442,TYPE_3_INSIDE,3,True
335,121.7374196994426,31.700644856173575,TYPE_2_OUTSIDE,2,False
338,121.80063355933152,31.215556821678415,TYPE_2_OUTSIDE,2,False
339,121.80063355933152,31.251489268678057,TYPE_2_OUTSIDE,2,False
340,121.77956227270187,31.233523045178238,TYPE_2_OUTSIDE,2,False
341,121.80063355933152,31.2874217156777,TYPE_2_OUTSIDE,2,False
342,121.77956227270187,31.269455492177876,TYPE_2_OUTSIDE,2,False
343,121.80063355933152,31.32335416267734,TYPE_3_OUTSIDE,3,False
344,121.77956227270187,31.30538793917752,TYPE_2_OUTSIDE,2,False
345,121.80063355933152,31.359286609676982,TYPE_3_INSIDE,3,True
347,121.80063355933152,31.395219056676623,TYPE_3_INSIDE,3,True
348,121.77956227270187,31.377252833176804,TYPE_3_INSIDE,3,True
349,121.80063355933152,31.431151503676265,TYPE_3_INSIDE,3,True
367,121.80063355933152,31.97013820867089,TYPE_3_INSIDE,3,True
369,121.75849098607223,32.00607065567053,TYPE_3_INSIDE,3,True
370,121.80063355933152,32.00607065567053,TYPE_3_INSIDE,3,True
371,121.77956227270187,31.988104432170708,TYPE_3_INSIDE,3,True
372,121.80063355933152,31.179624374678774,TYPE_1,1,False
373,121.8427761325908,31.179624374678774,TYPE_3_INSIDE,3,True
399,121.8427761325908,31.898273314671606,TYPE_3_OUTSIDE,3,False
400,121.8427761325908,31.934205761671247,TYPE_3_INSIDE,3,True
407,121.88491870585008,31.07182703367985,TYPE_3_OUTSIDE,3,False
408,121.8427761325908,31.10775948067949,TYPE_3_OUTSIDE,3,False
409,121.88491870585008,31.10775948067949,TYPE_3_OUTSIDE,3,False
410,121.86384741922043,31.08979325717967,TYPE_3_OUTSIDE,3,False
411,121.8427761325908,31.143691927679132,TYPE_3_OUTSIDE,3,False
412,121.88491870585008,31.143691927679132,TYPE_3_INSIDE,3,True
413,121.86384741922043,31.12572570417931,TYPE_3_OUTSIDE,3,False
414,121.88491870585008,31.179624374678774,TYPE_3_INSIDE,3,True
442,121.88491870585008,31.826408420672323,TYPE_3_OUTSIDE,3,False
445,121.88491870585008,31.862340867671964,TYPE_3_OUTSIDE,3,False
446,121.86384741922043,31.84437464417214,TYPE_3_OUTSIDE,3,False
447,121.88491870585008,31.898273314671606,TYPE_3_INSIDE,3,True
448,121.86384741922043,31.880307091171787,TYPE_3_OUTSIDE,3,False
449,121.88491870585008,31.934205761671247,TYPE_3_INSIDE,3,True
450,121.86384741922043,31.916239538171425,TYPE_3_INSIDE,3,True
454,121.92706127910937,30.999962139680566,TYPE_2_OUTSIDE,2,False
455,121.88491870585008,31.035894586680207,TYPE_2_OUTSIDE,2,False
456,121.92706127910937,31.035894586680207,TYPE_2_OUTSIDE,2,False
457,121.90598999247973,31.01792836318039,TYPE_2_OUTSIDE,2,False
458,121.92706127910937,31.07182703367985,TYPE_3_OUTSIDE,3,False
459,121.90598999247973,31.053860810180026,TYPE_2_OUTSIDE,2,False
460,121.92706127910937,31.10775948067949,TYPE_3_INSIDE,3,True
461,121.90598999247973,31.08979325717967,TYPE_3_OUTSIDE,3,False
462,121.92706127910937,31.143691927679132,TYPE_3_INSIDE,3,True
463,121.90598999247973,31.12572570417931,TYPE_3_INSIDE,3,True
464,121.92706127910937,31.179624374678774,TYPE_3_INSIDE,3,True
490,121.92706127910937,31.718611079673398,TYPE_3_INSIDE,3,True
491,121.90598999247973,31.700644856173575,TYPE_3_INSIDE,3,True
493,121.92706127910937,31.75454352667304,TYPE_3_INSIDE,3,True
495,121.92706127910937,31.79047597367268,TYPE_3_INSIDE,3,True
496,121.90598999247973,31.77250975017286,TYPE_3_INSIDE,3,True
497,121.92706127910937,31.826408420672323,TYPE_3_INSIDE,3,True
498,121.90598999247973,31.808442197172504,TYPE_3_OUTSIDE,3,False
499,121.92706127910937,31.862340867671964,TYPE_3_INSIDE,3,True
500,121.90598999247973,31.84437464417214,TYPE_3_INSIDE,3,True
664,121.02099595403476,31.75454352667304,TYPE_1,1,False
667,121.02099595403476,31.79047597367268,TYPE_1,1,False
668,120.99992466740512,31.77250975017286,TYPE_1,1,False
669,121.04206724066441,31.77250975017286,TYPE_1,1,False
674,121.06313852729406,31.75454352667304,TYPE_1,1,False
675,121.08420981392369,31.73657730317322,TYPE_1,1,False
676,121.06313852729406,31.79047597367268,TYPE_1,1,False
677,121.08420981392369,31.77250975017286,TYPE_1,1,False
681,121.10528110055333,31.718611079673398,TYPE_1,1,False
683,121.12635238718298,31.700644856173575,TYPE_1,1,False
684,121.10528110055333,31.75454352667304,TYPE_1,1,False
685,121.12635238718298,31.73657730317322,TYPE_1,1,False
686,121.10528110055333,31.79047597367268,TYPE_1,1,False
687,121.12635238718298,31.77250975017286,TYPE_1,1,False
689,121.12635238718298,31.808442197172504,TYPE_1,1,False
691,121.14742367381263,31.682678632673756,TYPE_1,1,False
694,121.14742367381263,31.718611079673398,TYPE_1,1,False
695,121.16849496044226,31.700644856173575,TYPE_1,1,False
696,121.14742367381263,31.75454352667304,TYPE_1,1,False
697,121.16849496044226,31.73657730317322,TYPE_1,1,False
698,121.14742367381263,31.79047597367268,TYPE_1,1,False
700,121.14742367381263,31.826408420672323,TYPE_0,0,False
701,121.16849496044226,31.808442197172504,TYPE_1,1,False
706,121.1895662470719,31.682678632673756,TYPE_3_OUTSIDE,3,False
707,121.21063753370154,31.664712409173937,TYPE_3_INSIDE,3,True
708,121.1895662470719,31.718611079673398,TYPE_2_OUTSIDE,2,False
709,121.21063753370154,31.700644856173575,TYPE_2_OUTSIDE,2,False
714,121.1895662470719,31.826408420672323,TYPE_0,0,False
717,121.21063753370154,31.84437464417214,TYPE_0,0,False
722,121.23170882033119,31.646746185674115,TYPE_3_INSIDE,3,True
724,121.25278010696083,31.628779962174292,TYPE_3_INSIDE,3,True
725,121.23170882033119,31.682678632673756,TYPE_3_INSIDE,3,True
726,121.23170882033119,31.718611079673398,TYPE_2_OUTSIDE,2,False
727,121.25278010696083,31.700644856173575,TYPE_2_OUTSIDE,2,False
740,121.27385139359046,31.57488129167483,TYPE_3_OUTSIDE,3,False
742,121.29492268022011,31.55691506817501,TYPE_1,1,False
743,121.27385139359046,31.610813738674473,TYPE_3_INSIDE,3,True
744,121.29492268022011,31.592847515174654,TYPE_3_INSIDE,3,True
745,121.27385139359046,31.646746185674115,TYPE_3_INSIDE,3,True
746,121.29492268022011,31.628779962174292,TYPE_3_INSIDE,3,True
747,121.27385139359046,31.682678632673756,TYPE_3_INSIDE,3,True
748,121.25278010696083,31.664712409173937,TYPE_3_INSIDE,3,True
749,121.29492268022011,31.664712409173937,TYPE_3_INSIDE,3,True
755,121.27385139359046,31.862340867671964,TYPE_0,0,False
758,121.29492268022011,31.880307091171787,TYPE_0,0,False
760,121.31599396684976,31.53894884467519,TYPE_2_OUTSIDE,2,False
761,121.3370652534794,31.52098262117537,TYPE_2_OUTSIDE,2,False
762,121.31599396684976,31.57488129167483,TYPE_3_INSIDE,3,True
763,121.3370652534794,31.55691506817501,TYPE_2_OUTSIDE,2,False
764,121.31599396684976,31.610813738674473,TYPE_3_INSIDE,3,True
765,121.3370652534794,31.592847515174654,TYPE_3_INSIDE,3,True
766,121.31599396684976,31.646746185674115,TYPE_3_INSIDE,3,True
767,121.3370652534794,31.628779962174292,TYPE_3_INSIDE,3,True
773,121.31599396684976,31.862340867671964,TYPE_0,0,False
778,121.35813654010903,31.503016397675548,TYPE_2_OUTSIDE,2,False
780,121.37920782673868,31.485050174175726,TYPE_2_OUTSIDE,2,False
781,121.35813654010903,31.53894884467519,TYPE_2_OUTSIDE,2,False
782,121.37920782673868,31.52098262117537,TYPE_2_OUTSIDE,2,False
783,121.35813654010903,31.57488129167483,TYPE_3_INSIDE,3,True
784,121.37920782673868,31.55691506817501,TYPE_2_OUTSIDE,2,False
785,121.35813654010903,31.610813738674473,TYPE_3_INSIDE,3,True
786,121.37920782673868,31.592847515174654,TYPE_3_INSIDE,3,True
793,121.37920782673868,31.84437464417214,TYPE_0,0,False
800,121.40027911336833,31.503016397675548,TYPE_2_OUTSIDE,2,False
801,121.42135039999796,31.485050174175726,TYPE_2_OUTSIDE,2,False
802,121.40027911336833,31.53894884467519,TYPE_2_OUTSIDE,2,False
803,121.42135039999796,31.52098262117537,TYPE_2_OUTSIDE,2,False
804,121.40027911336833,31.57488129167483,TYPE_3_INSIDE,3,True
805,121.42135039999796,31.55691506817501,TYPE_2_OUTSIDE,2,False
806,121.40027911336833,31.610813738674473,TYPE_3_OUTSIDE,3,False
